state,number of votes
alabama,9
alaska,3
arizona,11
arkansas,6
california,55
colorado,9
connecticut,7
delaware,3
district-of-columbia,3
florida,29
georgia,16
hawaii,4
idaho,4
illinois,20
indiana,11
iowa,6
kansas,6
kentucky,8
louisiana,8
maine,4
maryland,10
massachusetts,11
michigan,16
minnesota,10
mississippi,6
missouri,10
montana,3
nebraska,5
nevada,6
new-hampshire,4
new-jersey,14
new-mexico,5
new-york,29
north-carolina,15
north-dakota,3
ohio,18
oklahoma,7
oregon,7
pennsylvania,20
rhode-island,4
south-carolina,9
south-dakota,3
tennessee,11
texas,38
utah,6
vermont,3
virginia,13
washington,12
west-virginia,5
wisconsin,10
wyoming,3
